pre_common_admincp_cmenu id 
pre_common_block_item makethumb 是否已生成缩略图 1:生成成功; 2:生成失败
pre_common_block_item thumbpath 缩略图地址
pre_common_block_item displayorder 显示顺序
pre_common_block_item startdate 开始时间戳
pre_common_block_item enddate 结束时间戳
pre_common_block_item_data dataid 推荐信息ID
pre_common_block_item_data bid 模块ID
pre_common_block_item_data id 来源ID
pre_common_block_item_data idtype 来源ID TYPE
pre_common_block_item_data itemtype 信息类型 0为自动 1为手工输入 3推荐数据
pre_common_block_item_data title 信息标题名
pre_common_block_item_data url 信息链接地址
pre_common_block_item_data pic 信息图片
pre_common_block_item_data picflag 图片类型 0为url 1为本地 2 为ftp远程
pre_common_block_item_data makethumb 是否已生成缩略图
pre_common_block_item_data displayorder 显示顺序
pre_common_block_item_data startdate 开始时间戳
pre_common_block_item_data enddate 结束时间戳
pre_common_block_item_data uid 推荐者 UID
pre_common_block_item_data username 推荐者用户名
pre_common_block_item_data dateline 推荐日期
pre_common_block_item_data isverified 是否已通过审核
pre_common_block_item_data verifiedtime 通过审核日期
pre_common_block_item_data stickgrade 置顶等级： 0～10
pre_common_block_permission bid 模块ID
pre_common_block_permission uid 会员id
pre_common_block_permission allowmanage 允许管理
pre_common_block_permission allowrecommend 允许推荐
pre_common_block_permission needverify 推荐需要审核
pre_common_block_permission inheritedtplname 继承自的模板名称
pre_common_block_pic picid 图片ID
pre_common_block_pic bid 模块ID
pre_common_block_pic itemid 信息ID
pre_common_block_pic pic 信息图片
pre_common_block_pic picflag 图片类型 0为本地 1为ftp远程
pre_common_block_pic type 信息类型 0为模块缩略图 1为上传的图
pre_common_block_style styleid 模块样式ID
pre_common_block_style blockclass 模块分类
pre_common_block_style name 样式名称
pre_common_block_style hash 样式hash（blockclass + template）
pre_common_block_style getpic 是否需要获取pic数据
pre_common_block_style getsummary 是否需要获取summary数据
pre_common_block_style makethumb 是否需要block设置缩略图
pre_common_block_style settarget 是否需要设置链接打开方式
pre_common_block_style moreurl 是否有更多链接
pre_common_block_xml id ID
pre_common_block_xml name XML扩展名称
pre_common_block_xml version XML扩展版本
pre_common_block_xml url XML扩展 URL
pre_common_block_xml clientid 客户端ID
pre_common_block_xml key 通信密钥
pre_common_block_xml signtype 签名的加密方式：目前只支持MD5方式，空为不使用签名，直接使用通信密钥
pre_common_cache cachekey 
pre_common_cache dateline 
pre_common_card id 生成的卡片号码
pre_common_card typeid 1 卡片分类
pre_common_card maketype 卡片生成的方法
pre_common_card makeruid 卡片生成者uid
pre_common_card price 卡片面值
pre_common_card extcreditskey 充值积分种类
pre_common_card extcreditsval 积分数额
pre_common_card status 1 卡片状态(位与):1:可用,2:已用
pre_common_card dateline 卡片生成时间
pre_common_card cleardateline 卡片清理时间
pre_common_card useddateline 使用时间
pre_common_card uid 使用者
pre_common_card_log id 生成的卡片号码
pre_common_card_log uid 卡片生成者
pre_common_card_log username 卡片生成者
pre_common_card_log cardrule 卡片生成规则
pre_common_card_log dateline 本次log生成时间
pre_common_card_log operation 操作动作(位与):1:生成,2:任务生成,4:删除,9:卡片过期
pre_common_card_type id 卡片分类ID
pre_common_card_type typename 分类名称
pre_common_credit_log logid id
pre_common_credit_log uid 所属用户uid
pre_common_credit_log operation 操作类型
pre_common_credit_log relatedid 操作相关ID
pre_common_credit_log dateline 记录时间
pre_common_credit_log extcredits1 积分1变化值
pre_common_credit_log extcredits2 积分2变化值
pre_common_credit_log extcredits3 积分3变化值
pre_common_credit_log extcredits4 积分4变化值
pre_common_credit_log extcredits5 积分5变化值
pre_common_credit_log extcredits6 积分6变化值
pre_common_credit_log extcredits7 积分7变化值
pre_common_credit_log extcredits8 积分8变化值
pre_common_credit_log_field logid id
pre_common_credit_log_field title 记录标题
pre_common_credit_rule rid 规则ID
pre_common_credit_rule rulename 规则名称
pre_common_credit_rule action 规则action唯一KEY
pre_common_credit_rule cycletype 奖励周期0:一次;1:每天;2:整点;3:间隔分钟;4:不限;
pre_common_credit_rule cycletime 间隔时间
pre_common_credit_rule rewardnum 奖励次数
pre_common_credit_rule repeat 是否去重1：去重;0：不去重
pre_common_credit_rule extcredits1 扩展1
pre_common_credit_rule extcredits2 扩展2
pre_common_credit_rule extcredits3 扩展3
pre_common_credit_rule extcredits4 扩展4
pre_common_credit_rule extcredits5 扩展5
pre_common_credit_rule extcredits6 扩展6
pre_common_credit_rule extcredits7 扩展7
pre_common_credit_rule extcredits8 扩展8
pre_common_credit_rule_log clid 策略日志ID
pre_common_credit_rule_log uid 策略日志所有者uid
pre_common_credit_rule_log rid 策略ID
pre_common_credit_rule_log fid 版块ID
pre_common_credit_rule_log total 策略被执行总次数
pre_common_credit_rule_log cyclenum 周期被执行次数
pre_common_credit_rule_log extcredits1 扩展1
pre_common_credit_rule_log extcredits2 扩展2
pre_common_credit_rule_log extcredits3 扩展3
pre_common_credit_rule_log extcredits4 扩展4
pre_common_credit_rule_log extcredits5 扩展5
pre_common_credit_rule_log extcredits6 扩展6
pre_common_credit_rule_log extcredits7 扩展7
pre_common_credit_rule_log extcredits8 扩展8
pre_common_credit_rule_log starttime 周期开始时间
pre_common_credit_rule_log dateline 策略最后执行时间
pre_common_credit_rule_log_field clid 策略日志ID
pre_common_credit_rule_log_field uid 策略日志所有者uid
pre_common_cron cronid 计划任务id
pre_common_cron available 是否启用
pre_common_cron name 名称
pre_common_cron filename 对应文件
pre_common_cron lastrun 上次执行时间
pre_common_cron nextrun 下次执行时间
pre_common_cron weekday 周计划
pre_common_cron day 日计划
pre_common_cron hour 小时计划
pre_common_cron minute 分计划
pre_common_district id 地区ID
pre_common_district name 地区名称
pre_common_district level 地区等级：1，省级；2，市级；3，县级；4，乡镇
pre_common_district usetype 使用对象：0:都不启用; 1:出生地; 2:居住地; 3:都启用
pre_common_district upid 上级地区ID
pre_common_district displayorder 显示顺序
pre_common_diy_data targettplname 目标模板文件名
pre_common_diy_data tpldirectory 原模板所在目录
pre_common_diy_data primaltplname 原模板文件名
pre_common_diy_data name 目标模板页面名称
pre_common_diy_data uid 会员id
pre_common_diy_data username 用户名
pre_common_diy_data dateline 更新时间
pre_common_domain domain 域名前缀
pre_common_domain domainroot 二级域名后缀
pre_common_domain id 对应对象id
pre_common_domain idtype 对应对象类型subarea:分区、forum:版块、home:个人空间、group:群组、topic:专题、channel:频道
pre_common_failedlogin ip 失败IP
pre_common_failedlogin username 失败时的用户名
pre_common_failedlogin count 尝试次数
pre_common_failedlogin lastupdate 最后一次尝试时间
pre_common_friendlink id id
pre_common_friendlink displayorder 显示顺序，正序
pre_common_friendlink name 名称
pre_common_friendlink url url
pre_common_friendlink logo logo
pre_common_friendlink type 
pre_common_grouppm id 消息id
pre_common_grouppm authorid 作者id
pre_common_grouppm author 作者姓名
pre_common_grouppm dateline 时间
pre_common_grouppm numbers 数量
pre_common_invite id ID
pre_common_invite uid 邀请人
pre_common_invite code 邀请码
pre_common_invite fuid 受邀人UID
pre_common_invite fusername 受邀人姓名
pre_common_invite type 邮件邀请 1是0否
pre_common_invite email 邀请Email
pre_common_invite inviteip 邀请IP
pre_common_invite appid 应用ID
pre_common_invite dateline 邀请码生成时间
pre_common_invite endtime 邀请码结束时间
pre_common_invite regdateline 注册时间
pre_common_invite status 邀请码状态
pre_common_invite orderid 购买邀请码的订单号id
pre_common_magic magicid 道具id
pre_common_magic available 是否可用
pre_common_magic name 名称
pre_common_magic identifier 唯一标识
pre_common_magic description 描述
pre_common_magic displayorder 顺序
pre_common_magic credit 使用的积分
pre_common_magic price 价格
pre_common_magic num 数量
pre_common_magic salevolume 销售量
pre_common_magic supplytype 自动补货类型
